stub,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,n_rois,rois_per_nm2,rois_per_um2,mean_roi_area_nm2,summed_roi_area_nm2,summed_roi_area_um2,total_fenestration_area_nm2,total_fenestration_area_um2,porosity_fraction,porosity_percent
FAS24_ME_16,3.653,437470,786432,0.5562718709309896,55.62718709309896,5837778.60523,5.83777860523,541,9.267223657905153e-05,92.67223657905153,1668.5197826173753,902669.202396,0.902669202396,902669.202396,0.902669202396,0.15462546003154504,15.462546003154504
PR10_ME_16,3.636,367404,786432,0.4671783447265625,46.71783447265625,4857263.112384,4.8572631123839995,405,8.338028857597162e-05,83.38028857597163,1852.5342432000002,750276.3684960001,0.7502763684960001,750276.3684960001,0.7502763684960001,0.1544648397948852,15.446483979488521
PR17_ME_07,3.69,335454,786432,0.42655181884765625,42.655181884765625,4567575.2094,4.5675752094,427,9.34850506941277e-05,93.48505069412771,1650.9282091334892,704946.3452999999,0.7049463452999999,704946.3452999999,0.7049463452999999,0.1543371073232097,15.433710732320971
PR10_ME_03,3.636,205747,786432,0.26162083943684894,26.162083943684895,2720077.3905120003,2.7200773905120004,253,9.30120594665793e-05,93.01205946657929,1658.780336063241,419671.425024,0.419671425024,419671.425024,0.419671425024,0.15428657525990658,15.428657525990658
FAS19_ME_21,3.665,445790,786432,0.5668512980143229,56.68512980143229,5987951.58275,5.98795158275,579,9.669416861485227e-05,96.69416861485226,1593.4933865284975,922632.6708000001,0.9226326708000001,922632.6708000001,0.9226326708000001,0.1540815182036385,15.40815182036385
PR10_ME_15,3.636,480357,786432,0.6108055114746094,61.08055114746094,6350557.797072,6.350557797072,651,0.00010251068029018668,102.51068029018668,1501.1050734746545,977219.402832,0.977219402832,977219.4028320002,0.9772194028320002,0.1538793022689375,15.38793022689375
PR5_ME_19,3.704,223838,786432,0.28462473551432294,28.462473551432293,3070971.4062080006,3.0709714062080007,284,9.247888125102404e-05,92.47888125102403,1663.5517485070425,472448.6965760001,0.4724486965760001,472448.6965760001,0.4724486965760001,0.1538434046051162,15.38434046051162
PR17_ME_27,3.69,333613,786432,0.4242108662923177,42.421086629231766,4542507.9693,4.5425079693,379,8.343408587534164e-05,83.43408587534165,1834.796419788918,695387.8430999999,0.6953878430999999,695387.8430999999,0.6953878430999999,0.15308456205243798,15.308456205243798
PR13_ME_13,3.692,441275,786432,0.5611101786295573,56.11101786295573,6014959.511600001,6.014959511600001,496,8.246107044335901e-05,82.46107044335902,1855.3639540967745,920260.5212320001,0.9202605212320001,920260.5212320001,0.9202605212320001,0.15299529771684323,15.299529771684323
PR13_ME_19,3.652,407403,786432,0.5180397033691406,51.80397033691406,5433576.180912001,5.433576180912001,465,8.557899705787356e-05,85.57899705787355,1785.9672943483872,830474.7918720001,0.8304747918720001,830474.7918720001,0.8304747918720001,0.15284128982849904,15.284128982849904
FAS6_ME_new_33,3.69,362169,786432,0.4605216979980469,46.05216979980469,4931329.3209,4.9313293209,482,9.774240749997849e-05,97.7424074999785,1561.3881311203318,752589.0791999999,0.7525890792,752589.0791999999,0.7525890792,0.15261383497759332,15.261383497759331
PR10_ME_21,3.636,420412,786432,0.5345815022786459,53.458150227864586,5558055.164352001,5.558055164352001,441,7.93443006518657e-05,79.34430065186571,1921.7085149387756,847473.455088,0.8474734550880001,847473.455088,0.8474734550880001,0.15247661817455258,15.247661817455258
PR9_ME_15,3.636,371464,786432,0.4723409016927083,47.23409016927083,4910938.3261440005,4.9109383261440005,488,9.937001191851063e-05,99.37001191851064,1533.8755389836065,748531.263024,0.748531263024,748531.263024,0.748531263024,0.1524212305903129,15.24212305903129
PR20_ME_18,3.69,469204,786432,0.5966237386067709,59.662373860677086,6388728.5844,6.3887285844,498,7.794978193564469e-05,77.9497819356447,1953.4455433734938,972815.8805999999,0.9728158805999999,972815.8805999999,0.9728158805999999,0.1522706541291208,15.227065412912081
PR5_ME_10,3.704,134712,786432,0.171295166015625,17.1295166015625,1848196.9105920002,1.8481969105920002,158,8.548872638759614e-05,85.48872638759615,1774.0852816202535,280305.47449600004,0.280305474496,280305.47449600004,0.280305474496,0.1516642912286953,15.166429122869529
PR9_ME_12,3.636,307292,786432,0.3907419840494792,39.07419840494792,4062552.6568320002,4.0625526568320005,392,9.649105700593766e-05,96.49105700593765,1570.0013515102044,615440.5297920001,0.615440529792,615440.5297920001,0.615440529792,0.15149108990797028,15.149108990797028
FAS6_ME_new_23,3.69,382878,786432,0.48685455322265625,48.685455322265625,5213305.135799999,5.2133051358,523,0.00010032023570010043,100.32023570010043,1509.5646774378583,789502.3263,0.7895023263,789502.3263,0.7895023263,0.15143988424511204,15.143988424511203
